SalesKey,DateKey,SalesQuantity,SaleAmount,ProfitAmount,Region,States,ProductName,ProductCategoryName,ProductSubcategoryName,Feedback
145,2022-10-03,1,77.5,100.0,95340,BERNES SUR OISE,DIVERS,DIVERS,LUNETTE C2,9
146,2023-02-01,1,340.28,100.0,95200,SARCELLES,DIVERS,DIVERS,condenceur occ,8
147,2023-04-18,1,348.13,0.0,93150,LE BLANC MESNIL,DIVERS,MERCEDES,LUNETTE V CHAUFFANTE (SURTEINTEE),5
148,2023-06-22,1,71.69,0.0,95200,SARCELLES,DIVERS,BMW,GLACE MOBILE V PTE AVD,10
150,2018-04-04,4,74.17,100.0,93300,AUBERVILLIERS,DIVERS,DIVERS,MO PARE CHOC AV,4
150,2018-04-04,1,97.22,100.0,93300,AUBERVILLIERS,DIVERS,DIVERS,DEFLECTEUR AVD CRAFTEUR,4
151,2018-09-03,1,73.96,100.0,95200,SARCELLES,DIVERS,DIVERS,CITROEN | BERLINGO | VAN FAMILIAL | II 2008-2018 | LUNETT,5
151,2018-09-03,1,194.44,100.0,95200,SARCELLES,DIVERS,DIVERS,PARE BRISE C5 CAPT,5
153,2019-04-12,1,41.67,100.0,93240,STAINS,DIVERS,DIVERS,CARTON COLLE SIKATACK DRIVE ,5
153,2019-04-12,1,229.16,0.0,93240,STAINS,DIVERS,MERCEDES,PARE-BRISE V CAPTEUR PLUIE,5
155,2019-09-10,1,48.65,0.0,95400,VILLIERS LE BEL,DIVERS,HONDA,JOINT SUP LUNETTE,6
155,2019-09-10,1,30.82,100.0,95400,VILLIERS LE BEL,DIVERS,DIVERS,[6540RGSS4FD] GLACE DESCENDANTE AVANT DROIT TEINTE VERT PEUGEOT 607 TREMPEE 00-10 ,6
156,2020-02-06,1,166.67,100.0,93380,PIERREFITTE SUR SEINE,DIVERS,DIVERS,MAIN D'OEUVRE ,6
159,2020-12-02,1,111.11,100.0,78560,LE PORT MARLY,DIVERS,DIVERS,2 PNEU 235/65/16,9
160,2021-02-24,1,21.67,100.0,93240,STAINS,DIVERS,DIVERS,VITRE MOBILE AVANT GAUCHE VERT PEUGEOT 308 5P 13- 6570LGSH5FD,1
161,2021-05-18,1,74.35,100.0,75012,PARIS 12EME ARRONDISSEMENT,DIVERS,DIVERS,PEUGEOT | 206 | BRK 5P | 2002-2007 | PARE-BRISE CAPTEUR DE PLUIE 6539AGSMV6T,3
161,2021-05-18,1,148.33,0.0,75012,PARIS 12EME ARRONDISSEMENT,DIVERS,AGC,Kit PB Vert + accessoires,3
162,2021-07-27,1,467.02,0.0,95270,LUZARCHES,DIVERS,FORD (EU),PARE-BRISE V CAPTEUR PLUIE (ELECTROCHROME/ANTENNE GPS),9
162,2021-07-27,1,152.78,100.0,95270,LUZARCHES,DIVERS,DIVERS,PARE-BRISE RENAULT CLIO ,9
163,2021-10-11,1,980.58,0.0,93200,ST DENIS,DIVERS,PEUGEOT,PARE-BRISE V ATHERMIQUE CAPTEUR PLUIE (ACOUSTIQUE/REGARD.VIN),10
165,2022-04-04,1,599.28,100.0,92500,RUEIL MALMAISON,DIVERS,DIVERS,REPLACEMENT VITRAGE AVANT ET MAIN D'OEUVRE ,10
166,2022-06-20,1,49.13,0.0,95880,ENGHIEN LES BAINS,DIVERS,PILKINGTON (EUROCODE),Enjoliveur pare-brise,10
166,2022-06-20,1,1063.01,0.0,95880,ENGHIEN LES BAINS,DIVERS,PILKINGTON,Pare-brise clair,10
167,2022-10-04,1,263.89,100.0,93380,PIERREFITTE SUR SEINE,DIVERS,DIVERS,4 pneus 235/65/16 C Intertrack,7
167,2022-10-04,1,97.22,100.0,93380,PIERREFITTE SUR SEINE,DIVERS,DIVERS,1 JEU DE PLAQUETTES+PARA,7
169,2023-06-22,1,55.56,100.0,93120,LA COURNEUVE,DIVERS,DIVERS,emeteure ,10
170,2023-08-29,1,327.62,0.0,94140,ALFORTVILLE,DIVERS,MERCEDES,PARE-BRISE V DEGRADE (FEUILLETE),7
